depa_nombre,muni_nombre,total_prestadores,profesional_independiente,ips,objeto_social_diferente,transporte_especial,natural,juridico,privada,mixta,publica,vencimiento_2025,vencimiento_2026,vencimiento_2027,vencimiento_2028,vencimiento_2029,municipio_pdet,municipio_zomac,municipio_pnis,municipio_pnsr_antes_2023,municipio_pnsr_2023,municipio_pnsr_2024,muni_nombre_corr,depa_nombre_corr,MPIO,depa_nombre:1,muni_nombre:1,AÑO,total_pob,total_cabecera,total_cprd,hombres_cabecera,hombres_cprd,hombres_total,mujeres_cabecera,mujeres_cprd,mujeres_total,hombres_primera_infancia,hombres_infancia,hombres_adolescencia,hombres_juventud,hombres_adultez,hombres_vejez,mujeres_primera_infancia,mujeres_infancia,mujeres_adolescencia,mujeres_juventud,mujeres_adultez,mujeres_vejez,etnia_cabecera,etnia_cprd,etnia_total,superficie,region
AMAZONAS,LETICIA,57,43,12,2,0,43,14,54,0,3,28,19,2,7,1,NO,NO,NO,SI,SI,SI,LETICIA,AMAZONAS,91001,AMAZONAS,LETICIA,2025,55691,40511,15180,19934,7928,27862,20577,7252,27829,3466,3439,3486,5006,10486,1979,3309,3361,3439,4658,10827,2235,11973,13737,25710,5717.713561282115,Región Centro Sur
ANTIOQUIA,ABEJORRAL,13,11,1,1,0,11,2,12,0,1,6,2,3,1,1,NO,SI,NO,NO,SI,SI,ABEJORRAL,ANTIOQUIA,5002,ANTIOQUIA,ABEJORRAL,2025,21622,9369,12253,4599,6700,11299,4770,5553,10323,719,925,1006,1322,4919,2408,708,841,854,1074,4459,2387,78,8,86,497.5662124578413,Región Eje Cafetero 
ANTIOQUIA,ALEJANDRÍA,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,NO,SI,NO,NO,SI,SI,ALEJANDRÍA,ANTIOQUIA,5021,ANTIOQUIA,ALEJANDRÍA,2025,4989,2960,2029,1380,1087,2467,1580,942,2522,232,231,210,288,1026,480,228,217,185,262,1077,553,15,1,16,119.4676832230826,Región Eje Cafetero 
ANTIOQUIA,AMAGÁ,22,19,2,1,0,19,3,21,0,1,4,7,0,10,1,NO,NO,NO,NO,NO,NO,AMAGÁ,ANTIOQUIA,5030,ANTIOQUIA,AMAGÁ,2025,32628,17156,15472,8192,7809,16001,8964,7663,16627,1132,1257,1305,2210,7425,2672,1089,1222,1279,2115,7853,3069,163,18,181,89.24590344891269,Región Eje Cafetero 
ANTIOQUIA,AMALFI,15,13,2,0,0,13,2,14,0,1,2,11,2,0,0,SI,SI,SI,SI,SI,SI,AMALFI,ANTIOQUIA,5031,ANTIOQUIA,AMALFI,2025,28059,17098,10961,8046,5939,13985,9052,5022,14074,1223,1455,1465,1942,5856,2044,1178,1413,1429,1898,6126,2030,131,20,151,1301.657433227243,Región Eje Cafetero 
ANTIOQUIA,ANDES,55,50,3,2,0,50,5,54,0,1,26,17,7,5,0,NO,NO,NO,NO,NO,NO,ANDES,ANTIOQUIA,5034,ANTIOQUIA,ANDES,2025,46485,24343,22142,12473,11640,24113,11870,10502,22372,1801,1992,1994,3467,10728,4131,1643,1805,1828,2757,9988,4351,260,323,583,367.8371269692187,Región Eje Cafetero 
ANTIOQUIA,ANGELÓPOLIS,3,2,1,0,0,2,1,2,0,1,2,0,1,0,0,NO,NO,NO,NO,NO,NO,ANGELÓPOLIS,ANTIOQUIA,5036,ANTIOQUIA,ANGELÓPOLIS,2025,6183,2738,3445,1390,1723,3113,1348,1722,3070,246,262,258,385,1366,596,201,241,258,381,1359,630,18,19,37,74.20409971196945,Región Eje Cafetero 
ANTIOQUIA,ANGOSTURA,2,1,1,0,0,1,1,1,0,1,1,1,0,0,0,NO,SI,NO,NO,SI,SI,ANGOSTURA,ANTIOQUIA,5038,ANTIOQUIA,ANGOSTURA,2025,12190,3439,8751,1674,4485,6159,1765,4266,6031,566,619,611,832,2574,957,511,581,581,780,2537,1041,45,28,73,355.2864777795978,Región Eje Cafetero 
ANTIOQUIA,ANORÍ,7,6,1,0,0,6,1,6,0,1,2,4,0,1,0,SI,SI,SI,SI,SI,SI,ANORÍ,ANTIOQUIA,5040,ANTIOQUIA,ANORÍ,2025,19812,9469,10343,4772,5679,10451,4697,4664,9361,1082,1203,1124,1535,4341,1166,1098,1104,995,1374,3777,1013,166,403,569,1462.812162110804,Región Eje Cafetero 
ANTIOQUIA,ANZA,2,1,1,0,0,1,1,1,0,1,1,1,0,0,0,NO,NO,NO,NO,SI,NO,ANZÁ,ANTIOQUIA,5044,ANTIOQUIA,ANZÁ,2025,7537,1792,5745,928,2984,3912,864,2761,3625,367,396,377,498,1673,601,319,359,349,459,1562,577,5,23,28,278.1728633193784,Región Eje Cafetero 
